,MapRefNo,Neighborhood,GrLivArea,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LogSalePrice
1283,534204030,NAmes,925,1-STORY 1946 & NEWER ALL STYLES,RL,8125,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,5,7,1965,2005,Hip,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,5,260.0,3,456.0,196.0,912.0,GasA,Ex,1,SBrkr,925,0,0,1.0,0.0,1,0,3,1,3,5,8,0,Detchd,1978.0,1,2.0,576.0,3,3,Y,233,0,0,0,0,0,0,7,2008,WD ,Normal,135000,11.813030057420567
1,905476230,Edwards,1049,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,4235,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,TA,1,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,8,0,Attchd,1984.0,3,1.0,266.0,3,3,Y,0,105,0,0,0,0,0,2,2009,WD ,Normal,139500,11.845819880243557
384,532477030,Veenker,1430,1-STORY 1946 & NEWER ALL STYLES,RL,19508,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,6,5,1974,1974,Gable,CompShg,HdBoard,ImStucc,BrkFace,144.0,3,3,CBlock,3,3,3,5,800.0,1,0.0,630.0,1430.0,GasA,TA,1,SBrkr,1430,0,0,0.0,1.0,2,0,3,1,3,6,8,2,Attchd,1974.0,1,2.0,484.0,3,3,Y,117,108,165,0,0,0,0,7,2008,WD ,Normal,192000,12.165250651009918
530,907201220,CollgCr,907,1-STORY 1946 & NEWER ALL STYLES,RL,16269,Pave,1,Lvl,AllPub,CulDSac,1,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,BrkFace,76.0,3,3,BrkTil,4,3,3,6,625.0,1,0.0,282.0,907.0,GasA,TA,1,SBrkr,907,0,0,0.0,0.0,1,0,3,1,3,5,8,0,Attchd,1978.0,1,1.0,343.0,3,3,Y,72,0,0,0,0,0,0,7,2009,WD ,Normal,140000,11.84939770159144
1147,914475090,Mitchel,1285,SPLIT OR MULTI-LEVEL,RL,9620,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,SLvl,6,7,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,1,5,679.0,1,0.0,564.0,1243.0,GasA,TA,1,SBrkr,1285,0,0,0.0,1.0,2,0,3,1,4,6,8,1,Attchd,1977.0,1,2.0,473.0,3,3,Y,375,26,0,0,0,0,80,5,2010,WD ,Normal,190000,12.154779351142624
453,527405130,NAmes,864,1-STORY 1946 & NEWER ALL STYLES,RL,7038,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,4,6,1970,1970,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,5,726.0,1,0.0,138.0,864.0,GasA,TA,1,SBrkr,864,0,0,1.0,0.0,1,0,3,1,3,5,8,0,Detchd,2001.0,1,2.0,576.0,3,3,Y,210,0,0,0,0,0,0,9,2009,WD ,Abnorml,76500,11.245046019814627
2487,905201120,Sawyer,1383,1-STORY 1946 & NEWER ALL STYLES,RL,13284,Pave,0,Lvl,AllPub,Inside,1,PosN,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,4,3,2,4,1064.0,1,0.0,319.0,1383.0,GasA,TA,1,SBrkr,1383,0,0,1.0,0.0,1,0,3,1,3,6,8,1,Attchd,1954.0,1,1.0,354.0,3,3,Y,511,116,0,0,0,0,0,6,2008,WD ,Normal,165000,12.013700752882718
2243,909100080,SWISU,1296,1-STORY 1945 & OLDER,RL,4853,Pave,0,Bnk,AllPub,Inside,1,Artery,Norm,1Fam,1Story,5,6,1924,1999,Gable,CompShg,MetalSd,VinylSd,BrkFace,203.0,3,3,BrkTil,3,3,2,3,133.0,1,0.0,974.0,1107.0,GasA,Fa,0,FuseA,1296,0,0,0.0,0.0,2,0,2,1,2,5,8,1,Detchd,1979.0,1,1.0,260.0,3,3,Y,0,0,36,0,0,0,0,5,2010,WD ,Normal,104000,11.55214617812351
2211,528180130,NridgHt,1456,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,6472,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,TwnhsE,1Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,BrkFace,500.0,5,3,PConc,5,3,1,1,0.0,1,0.0,1451.0,1451.0,GasA,Ex,1,SBrkr,1456,0,0,0.0,0.0,2,0,2,1,5,6,8,1,Attchd,2008.0,2,2.0,539.0,3,3,Y,192,42,0,0,0,0,0,4,2009,WD ,Normal,248500,12.423198124518821
587,535103050,NAmes,1820,2-STORY 1946 & NEWER,RL,13700,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,2Story,7,6,1965,1988,Gable,CompShg,VinylSd,VinylSd,Stone,288.0,3,3,CBlock,3,3,4,5,454.0,1,0.0,410.0,864.0,GasA,TA,1,SBrkr,902,918,0,0.0,0.0,1,2,4,1,4,8,8,2,Attchd,1965.0,1,2.0,492.0,3,3,Y,60,84,0,0,273,0,0,5,2008,WD ,Normal,201800,12.215032386901646
1452,528294070,Gilbert,2291,2-STORY 1946 & NEWER,RL,8738,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,4,3,PConc,4,3,1,1,0.0,1,0.0,975.0,975.0,GasA,Ex,1,SBrkr,1005,1286,0,0.0,0.0,2,1,4,1,4,8,8,1,BuiltIn,1999.0,3,2.0,429.0,3,3,Y,192,0,0,0,0,0,0,2,2006,WD ,Normal,230000,12.345834587905333
1633,910226060,IDOTRR,1638,1-1/2 STORY FINISHED ALL AGES,RM,9060,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1.5Fin,6,5,1957,1957,Gable,CompShg,MetalSd,MetalSd,BrkFace,327.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,967.0,967.0,GasA,Gd,1,SBrkr,967,671,0,0.0,0.0,2,0,4,1,4,6,8,0,Detchd,1957.0,1,1.0,384.0,3,3,Y,0,21,0,0,0,0,0,4,2006,WD ,Normal,139000,11.842229212112828
1804,535477060,NAmes,1348,2-STORY 1946 & NEWER,RL,7590,Pave,0,Lvl,AllPub,Inside,1,PosN,Norm,1Fam,2Story,6,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,3,3,CBlock,3,3,1,4,512.0,1,0.0,148.0,660.0,GasA,TA,1,SBrkr,660,688,0,0.0,0.0,1,1,3,1,3,6,8,1,Attchd,1966.0,2,2.0,453.0,3,3,Y,188,108,0,0,0,0,0,7,2006,WD ,Normal,155000,11.951180395901384
581,906380060,CollgCr,1838,1-STORY 1946 & NEWER ALL STYLES,RL,11422,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,352.0,4,3,PConc,5,3,3,6,1359.0,1,0.0,479.0,1838.0,GasA,Ex,1,SBrkr,1838,0,0,1.0,0.0,2,0,3,1,4,7,8,2,Attchd,2007.0,2,2.0,524.0,3,3,Y,154,222,0,0,0,0,0,4,2009,WD ,Normal,272500,12.515393893085436
1504,907290160,CollgCr,848,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,4435,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,3,6,717.0,1,0.0,131.0,848.0,GasA,Ex,1,SBrkr,848,0,0,1.0,0.0,1,0,1,1,4,4,8,0,Attchd,2003.0,3,2.0,420.0,3,3,Y,140,0,0,0,0,0,0,4,2006,WD ,Normal,133000,11.79810440720389
1476,534251280,NWAmes,1632,2-STORY 1946 & NEWER,RL,9130,Pave,0,Lvl,AllPub,Inside,1,Feedr,Norm,1Fam,2Story,6,8,1966,2000,Hip,CompShg,HdBoard,HdBoard,BrkFace,252.0,3,3,CBlock,3,3,1,6,400.0,3,64.0,336.0,800.0,GasA,Gd,1,SBrkr,800,832,0,0.0,1.0,1,1,4,1,4,7,8,0,Attchd,1966.0,1,2.0,484.0,3,3,Y,0,40,0,0,0,0,0,7,2008,WD ,Normal,173000,12.061046873479915
52,527302020,NWAmes,1868,SPLIT OR MULTI-LEVEL,RL,12090,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,SLvl,6,7,1984,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,74.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,585.0,585.0,GasA,Ex,1,SBrkr,1140,728,0,0.0,0.0,3,1,3,1,3,7,8,1,BuiltIn,1984.0,3,2.0,477.0,3,3,Y,268,112,0,0,147,0,0,1,2007,WD ,Abnorml,178000,12.089538829274222
1285,907192130,CollgCr,1494,1-STORY 1946 & NEWER ALL STYLES,RL,12803,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,99.0,4,3,PConc,4,3,2,6,922.0,1,0.0,572.0,1494.0,GasA,Ex,1,SBrkr,1494,0,0,1.0,0.0,2,0,3,1,4,6,8,1,Attchd,2002.0,2,2.0,530.0,3,3,Y,192,36,0,0,0,0,0,9,2008,WD ,Normal,221000,12.30591798049989
1955,906475200,ClearCr,1533,1-STORY 1946 & NEWER ALL STYLES,RL,70761,Pave,1,Low,AllPub,Inside,2,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,4,5,655.0,1,0.0,878.0,1533.0,GasA,TA,1,SBrkr,1533,0,0,1.0,0.0,2,0,2,1,4,5,8,2,Attchd,1975.0,1,2.0,576.0,3,3,Y,200,54,0,0,0,0,0,12,2006,WD ,Normal,280000,12.542544882151386
1012,527364030,Somerst,1884,2-STORY 1946 & NEWER,FV,7000,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,2,6,622.0,1,0.0,304.0,926.0,GasA,Ex,1,SBrkr,1016,868,0,1.0,0.0,2,1,3,1,5,7,8,1,Attchd,2003.0,2,2.0,581.0,3,3,Y,0,35,0,0,0,0,0,6,2009,WD ,Normal,240900,12.392137188602963
2174,527302175,NWAmes,1586,1-STORY 1946 & NEWER ALL STYLES,RL,17043,Pave,1,Lvl,AllPub,CulDSac,1,Norm,Norm,1Fam,1Story,6,5,1979,1998,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,2,1,1,0.0,1,0.0,1362.0,1362.0,GasA,TA,1,SBrkr,1586,0,0,0.0,0.0,2,0,3,1,3,7,8,1,Attchd,1979.0,1,2.0,435.0,3,3,Y,192,0,0,0,0,0,0,1,2009,WD ,Normal,181000,12.106252310247962
1525,527354050,NWAmes,1353,1-STORY 1946 & NEWER ALL STYLES,RL,10400,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,6,5,1979,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,253.0,3,3,CBlock,4,3,1,6,903.0,1,0.0,356.0,1259.0,GasA,Ex,1,SBrkr,1353,0,0,1.0,0.0,2,0,2,1,3,5,8,1,Attchd,1979.0,2,2.0,478.0,3,3,Y,240,141,0,0,0,0,0,8,2007,WD ,Normal,192350,12.167071908180441
194,921126030,Timber,1728,1-STORY 1946 & NEWER ALL STYLES,RL,11449,Pave,1,HLS,AllPub,Inside,1,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,1011.0,1,0.0,873.0,1884.0,GasA,Ex,1,SBrkr,1728,0,0,1.0,0.0,2,0,3,1,4,7,8,1,Attchd,2007.0,3,2.0,520.0,3,3,Y,0,276,0,0,0,0,0,1,2008,WD ,Normal,298751,12.60736572950259
189,535353130,OldTown,924,1-STORY 1946 & NEWER ALL STYLES,RL,15783,Pave,0,Lvl,AllPub,Inside,1,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,TA,1,SBrkr,924,0,0,0.0,0.0,1,0,2,1,3,6,8,0,Detchd,1952.0,1,1.0,420.0,3,3,Y,0,324,0,0,0,0,400,6,2007,WD ,Normal,112500,11.630708500626612
776,535126040,NAmes,1888,1-STORY 1946 & NEWER ALL STYLES,RL,16492,Pave,1,Lvl,AllPub,Corner,1,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,Ex,1,SBrkr,1888,0,0,0.0,0.0,2,1,2,1,4,6,5,1,Attchd,1966.0,3,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,6,2010,WD ,Normal,190000,12.154779351142624
2209,528181010,NridgHt,1367,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,12304,Pave,3,Lvl,AllPub,Corner,1,Norm,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,144.0,4,3,PConc,4,3,1,6,20.0,1,0.0,1347.0,1367.0,GasA,Ex,1,SBrkr,1367,0,0,0.0,0.0,2,0,2,1,4,6,8,1,Attchd,2005.0,2,2.0,484.0,3,3,Y,0,33,0,0,0,0,0,6,2008,WD ,Normal,192000,12.165250651009918
322,526302030,NAmes,1293,1-STORY 1946 & NEWER ALL STYLES,RL,11027,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28.0,3,3,CBlock,3,3,1,4,468.0,3,539.0,171.0,1178.0,GasA,Gd,1,SBrkr,1293,0,0,1.0,0.0,2,0,2,1,3,5,8,0,Attchd,1954.0,2,2.0,452.0,3,3,Y,280,0,0,0,0,0,0,5,2006,WD ,Normal,149900,11.917723684090689
1025,903233180,BrkSide,1367,1-1/2 STORY FINISHED ALL AGES,RM,6240,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1.5Fin,6,6,1931,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,2,1,2,425.0,1,0.0,459.0,884.0,GasA,TA,1,FuseA,959,408,0,0.0,0.0,1,0,3,1,3,6,8,1,Detchd,1978.0,1,1.0,560.0,3,3,Y,0,0,0,0,120,0,0,11,2007,WD ,Normal,127500,11.755871643580617
264,528235020,Gilbert,1515,2-STORY 1946 & NEWER,RL,9024,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,789.0,789.0,GasA,Ex,1,SBrkr,813,702,0,0.0,0.0,2,1,3,1,4,8,8,1,Attchd,2004.0,3,2.0,393.0,3,3,Y,0,75,0,0,0,0,0,7,2008,WD ,Normal,179000,12.095141084822892
652,531453140,SawyerW,884,SPLIT FOYER,RL,9180,Pave,1,Lvl,AllPub,CulDSac,1,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,5,747.0,2,93.0,0.0,840.0,GasA,Gd,1,SBrkr,884,0,0,1.0,0.0,1,0,2,1,4,5,8,0,Attchd,1983.0,2,2.0,504.0,3,4,Y,240,0,0,0,0,0,0,12,2007,WD ,Normal,144000,11.877568578558138
2265,923251080,Mitchel,1188,1-STORY 1946 & NEWER ALL STYLES,RL,26142,Pave,1,Lvl,AllPub,CulDSac,1,Norm,Norm,1Fam,1Story,5,7,1962,1962,Gable,CompShg,HdBoard,HdBoard,BrkFace,189.0,3,3,CBlock,3,3,1,3,593.0,1,0.0,595.0,1188.0,GasA,TA,1,SBrkr,1188,0,0,0.0,0.0,1,0,3,1,3,6,8,0,Attchd,1962.0,1,1.0,312.0,3,3,P,261,39,0,0,0,0,0,4,2010,WD ,Normal,157900,11.969717200243734
1604,909175100,SWISU,1694,1-1/2 STORY FINISHED ALL AGES,RL,8400,Pave,0,Bnk,AllPub,Inside,1,Norm,Norm,1Fam,1.5Fin,6,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3,3,1,3,423.0,1,0.0,758.0,1181.0,GasA,Fa,1,SBrkr,1390,304,0,0.0,0.0,2,0,4,1,3,7,8,1,Detchd,1925.0,1,2.0,576.0,3,3,Y,342,0,128,0,0,0,0,6,2008,WD ,Normal,136500,11.824079893607152
1038,533210060,Somerst,1200,2-STORY PUD - 1946 & NEWER,FV,3215,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,4,3,PConc,4,3,3,6,280.0,1,0.0,320.0,600.0,GasA,Ex,1,SBrkr,600,600,0,0.0,0.0,2,1,2,1,4,4,8,0,Detchd,2004.0,2,2.0,480.0,3,3,Y,0,172,0,0,0,0,0,4,2010,ConLD,Normal,155000,11.951180395901384
2374,902106120,OldTown,1022,1-STORY 1945 & OLDER,RM,4480,Pave,0,Lvl,AllPub,Corner,1,Artery,Norm,1Fam,1Story,5,5,1922,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,PConc,2,2,1,2,782.0,1,0.0,240.0,1022.0,GasA,TA,0,FuseF,1022,0,0,1.0,0.0,1,0,2,1,2,4,8,1,Detchd,1922.0,1,1.0,184.0,3,2,N,0,122,20,0,0,0,0,2,2007,WD ,Normal,89500,11.401993904262946
2422,527359080,NWAmes,1935,2-STORY 1946 & NEWER,RL,12384,Pave,0,Lvl,AllPub,CulDSac,1,Norm,Norm,1Fam,2Story,7,7,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,233.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,793.0,793.0,GasA,TA,1,SBrkr,1142,793,0,0.0,0.0,2,1,3,1,3,7,8,1,Attchd,1976.0,2,2.0,550.0,3,3,Y,0,113,252,0,0,0,0,11,2007,WD ,Normal,197900,12.195517131590657
609,531375070,SawyerW,1141,1-STORY 1946 & NEWER ALL STYLES,RL,13072,Pave,0,Lvl,AllPub,Inside,1,RRAe,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1141.0,1141.0,GasA,Ex,1,SBrkr,1141,0,0,0.0,0.0,1,1,3,1,3,6,8,0,Detchd,2005.0,1,2.0,484.0,3,3,Y,0,0,0,0,0,0,0,3,2006,WD ,Abnorml,142500,11.867097278690842
1013,526355190,NAmes,2217,1-STORY 1946 & NEWER ALL STYLES,RL,15865,Pave,1,Lvl,AllPub,Inside,2,Norm,Norm,1Fam,1Story,8,6,1970,1970,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0.0,4,4,PConc,3,4,4,5,351.0,3,823.0,1043.0,2217.0,GasA,Ex,1,SBrkr,2217,0,0,1.0,0.0,2,0,4,1,4,8,8,1,Attchd,1970.0,1,2.0,621.0,3,3,Y,81,207,0,0,224,0,0,10,2007,WD ,Normal,268000,12.498742259492994
2526,535181030,NAmes,1657,1-STORY 1946 & NEWER ALL STYLES,RL,12155,Pave,3,Lvl,AllPub,Inside,1,PosN,Norm,1Fam,1Story,6,3,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,2,1237.0,1,0.0,420.0,1657.0,GasA,Gd,1,SBrkr,1657,0,0,0.0,1.0,2,0,3,1,3,7,8,1,Attchd,1970.0,1,2.0,484.0,3,3,Y,0,0,0,0,147,0,0,3,2007,WD ,Normal,163500,12.004568269319446
