,MapRefNo,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,Price/SF,BsmtPercentUnfinished,LowQualFinishedPercent,TotalAuxSF,relativeAuxSF,Price/AuxSF,SchD_S,GLA,LndAc_S,Ext1,OthAc_S,ImpAc_S,ValType,NmbrBRs,Rcrd_Yr,GarYrBlt,TtlBsmtSF,TxD_S,YrBuilt,PA-Strt,PA-StSfx,Central Air,Source,AcreNt_S,Ext2,TtlVal_AsrYr,PA-Nmbr,AcreGr,Rcrd_Mo,Cars,Date
11,528186170,1342,219500,120,RL,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,0,0,0,2,2008,WD ,Normal,2684.0,81.78092399403874,0.9821162444113264,0.0,6825.0,-3851.488372093023,32.16117216117216,5,1342.0,68800,MetalSd,206200,0,F,2.0,2008.0,2007.0,1342.0,45,2006.0,CHILTON,AVE,Yes,Ames City Assessor,0.0,MetalSd,275000,3629.0,0.0,2.0,2.0,10-Jul-20
12,923426070,1274,136000,60,RL,10475,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,0,0,3,2010,WD ,Normal,1898.0,71.65437302423604,0.266025641025641,0.0,11051.0,374.5116279069771,12.306578590172835,1,1274.0,46300,HdBoard,139100,0,F,3.0,2019.0,1993.0,624.0,1,1991.0,KEN MARIL,RD,Yes,Ames City Assessor,0.0,HdBoard,185400,700,0.0,5.0,2.0,10-Jul-20
13,902204080,861,80000,30,RM,7404,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,0,0,11,2009,Oth,Normal,1722.0,46.45760743321719,1.0,0.0,7820.0,-2856.488372093023,10.230179028132993,1,1966.0,48700,BrkFace,146200,0,F,2.0,2020.0,2010.0,916.0,1,1920.0,CARROLL,AVE,Yes,Ames City Assessor,0.0,BrkFace,194900,1102.0,0.0,6.0,3.0,10-Jul-20
14,535105100,1394,159000,20,RL,9500,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,TA,6,Typ,2,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,0,0,7,2009,WD ,Normal,2788.0,57.03012912482066,0.5631276901004304,0.0,10275.0,-401.4883720930229,15.474452554744525,1,1394.0,50000,Plywood,150100,0,F,3.0,2018.0,1963.0,1394.0,1,1963.0,KELLOGG,AVE,Yes,Ames City Assessor,0.0,Plywood,200100,2519.0,0.0,4.0,2.0,10-Jul-20
15,907405020,1536,214000,20,RL,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,0,0,0,12,2008,WD ,Normal,3072.0,69.66145833333333,0.47265625,0.0,9741.0,-935.4883720930229,21.96899702289293,1,1536.0,67000,VinylSd,200800,0,F,3.0,2008.0,2002.0,1536.0,1,2002.0,TENNYSON,AVE,Yes,Ames City Assessor,0.0,VinylSd,267800,812,0.0,12.0,2.0,10-Jul-20
16,531382110,1680,163000,60,RL,8480,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,Gd,7,Typ,0,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,0,0,0,10,2008,WD ,Normal,2566.0,63.52299298519096,0.32054176072234764,0.0,9050.0,-1626.488372093023,18.011049723756905,1,1680.0,55100,HdBoard,165300,0,F,3.0,2011.0,1993.0,886.0,1,1993.0,MARYLAND,ST,Yes,Ames City Assessor,0.0,HdBoard,220400,5220.0,0.0,6.0,2.0,10-Jul-20
17,906380120,1274,203000,20,RL,8814,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,0,0,0,1,2007,New,Partial,2548.0,79.67032967032966,0.2739403453689168,0.0,9420.0,-1256.488372093023,21.549893842887474,1,1274.0,59700,VinylSd,178900,0,F,3.0,2007.0,2005.0,1274.0,1,2005.0,HARTFORD,DR,Yes,Ames City Assessor,0.0,VinylSd,238600,319,0.0,1.0,2.0,10-Jul-20
20,923252075,1091,131250,80,RL,7706,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,0,700,8,2009,WD ,Normal,1475.0,88.98305084745763,0.0,0.0,8135.0,-2541.488372093023,16.1339889366933,1,1091.0,41200,HdBoard,123700,0,F,2.0,2009.0,1993.0,384.0,1,1993.0,TEAGARDEN,DR,Yes,Ames City Assessor,0.0,HdBoard,164900,424,0.0,8.0,1.0,10-Jul-20
21,531376060,1486,181000,20,RL,7441,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,0,0,6,2007,WD ,Normal,2947.0,61.418391584662366,1.0,0.0,8039.0,-2637.488372093023,22.515238213708173,1,1478.0,60700,VinylSd,182200,0,F,3.0,2017.0,2006.0,1453.0,1,2006.0,CALIFORNIA,AVE,Yes,Ames City Assessor,0.0,VinylSd,242900,1514.0,0.0,10.0,2.0,10-Jul-20
22,902201120,789,115000,20,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,0,0,4,2008,WD ,Partial,1578.0,72.87705956907477,0.6539923954372624,0.0,6250.0,-4426.488372093023,18.4,1,789.0,34200,VinylSd,102600,0,F,2.0,2015.0,1948.0,789.0,1,1948.0,CARROLL,AVE,Yes,Ames City Assessor,0.0,VinylSd,136800,1216.0,0.0,12.0,1.0,10-Jul-20
24,902326030,2640,265979,70,RM,11700,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,0,0,0,5,2009,WD ,Normal,3880.0,68.55128865979381,1.0,0.0,12950.0,2273.511627906977,20.53891891891892,1,2640.0,57300,Stucco,172000,0,F,2.0,2009.0,1950.0,1240.0,1,1880.0,DOUGLAS,AVE,No,Ames City Assessor,0.0,Stucco,229300,829,0.0,5.0,4.0,10-Jul-20
25,527451330,1092,105500,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,1617.0,65.24427952999382,0.42857142857142855,0.0,2000.0,-8676.488372093023,52.75,1,1092.0,30700,HdBoard,92000,0,F,3.0,2018.0,1997.0,525.0,1,1971.0,BARKLEY,CT,Yes,Ames City Assessor,0.0,HdBoard,122700,1342.0,0.0,8.0,1.0,10-Jul-20
26,528218100,1458,168165,60,RL,13204,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,0,0,0,5,2007,New,Partial,2066.0,81.39641819941917,1.0,0.0,13691.0,3014.511627906977,12.282886567818275,5,1409.0,51200,VinylSd,153500,0,F,3.0,2015.0,2007.0,608.0,45,2006.0,CRESTMOOR,AVE,Yes,Ames City Assessor,0.0,VinylSd,204700,4205.0,0.0,7.0,2.0,10-Jul-20
27,916386140,1466,201000,20,RL,8925,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,0,7,2009,WD ,Normal,2932.0,68.55388813096862,0.9890859481582538,0.0,9553.0,-1123.488372093023,21.040510834292892,1,1415.0,78500,VinylSd,235500,0,F,3.0,2018.0,2007.0,1415.0,1,2007.0,COTTONTAIL,LN,Yes,Ames City Assessor,0.0,VinylSd,314000,3028,0.0,8.0,3.0,10-Jul-20
28,533221090,1573,177500,160,FV,2117,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,Gd,5,Typ,0,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,0,6,2010,WD ,Normal,2329.0,76.21296693860026,0.5,0.0,2589.0,-8087.488372093023,68.55928930088838,1,1573.0,52100,MetalSd,156200,0,F,3.0,2018.0,2000.0,756.0,1,2000.0,HAMPTON,ST,Yes,Ames City Assessor,0.0,MetalSd,208300,2711.0,0.0,2.0,2.0,10-Jul-20
29,534128010,2090,200000,60,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,TA,7,Typ,2,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,350,11,2009,WD ,Normal,3197.0,62.55864873318736,0.1951219512195122,0.0,11298.0,621.5116279069771,17.70224818551956,1,2090.0,67700,HdBoard,203200,0,F,3.0,2013.0,1973.0,1107.0,1,1973.0,JOHNSON,ST,Yes,Ames City Assessor,0.0,HdBoard,270900,1636.0,0.0,8.0,2.0,10-Jul-20
30,528106110,2046,450000,20,RL,15431,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,0,0,8,2007,WD ,Normal,4040.0,111.38613861386139,0.28284854563691075,0.0,16549.0,5872.511627906977,27.191975345942353,5,2106.0,119100,VinylSd,357400,0,F,2.0,2007.0,2005.0,2053.0,45,2005.0,WESTON,DR,Yes,Ames City Assessor,0.0,VinylSd,476500,3331.0,0.0,8.0,3.0,10-Jul-20
31,902206260,886,91300,30,RM,5784,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,0,0,12,2009,WD ,Normal,1076.0,84.85130111524164,1.0,0.0,6157.0,-4519.488372093023,14.828650316712684,1,886.0,29100,MetalSd,87300,0,F,2.0,2009.0,1938.0,190.0,1,1938.0,DUFF,AVE,Yes,Ames City Assessor,0.0,MetalSd,116400,926.0,0.0,12.0,1.0,10-Jul-20
32,528222090,1258,173500,20,RL,7697,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,0,8,2007,New,Partial,2504.0,69.28913738019169,1.0,0.0,8159.0,-2517.488372093023,21.26486088981493,5,1322.0,55700,VinylSd,167100,0,F,3.0,2012.0,2007.0,1322.0,45,2007.0,WELBECK,DR,Yes,Ames City Assessor,0.0,VinylSd,222800,4302.0,0.0,6.0,2.0,10-Jul-20
